ThetaIncident,SineRatio,Power1,Power2,sum(log(1 + 10^8 SSNR))
0,0,0,0,40393
9.0,0.1,0.5,0.5,45750
9.0,0.1,0.5,1.0,46267
9.0,0.1,0.5,2.0,44392
9.0,0.1,1.0,0.5,50250
9.0,0.1,1.0,1.0,52594
9.0,0.1,1.0,2.0,49635
9.0,0.1,2.0,0.5,52350
9.0,0.1,2.0,1.0,55235
9.0,0.1,2.0,2.0,56382
9.0,0.2,0.5,0.5,46115
9.0,0.2,0.5,1.0,47516
9.0,0.2,0.5,2.0,46666
9.0,0.2,1.0,0.5,50392
9.0,0.2,1.0,1.0,53339
9.0,0.2,1.0,2.0,51230
9.0,0.2,2.0,0.5,52361
9.0,0.2,2.0,1.0,55457
9.0,0.2,2.0,2.0,57303
9.0,0.30000000000000004,0.5,0.5,46397
9.0,0.30000000000000004,0.5,1.0,48870
9.0,0.30000000000000004,0.5,2.0,49017
9.0,0.30000000000000004,1.0,0.5,50453
9.0,0.30000000000000004,1.0,1.0,54074
9.0,0.30000000000000004,1.0,2.0,53316
9.0,0.30000000000000004,2.0,0.5,52337
9.0,0.30000000000000004,2.0,1.0,55565
9.0,0.30000000000000004,2.0,2.0,58297
9.0,0.4,0.5,0.5,46350
9.0,0.4,0.5,1.0,49126
9.0,0.4,0.5,2.0,49757
9.0,0.4,1.0,0.5,50289
9.0,0.4,1.0,1.0,53988
9.0,0.4,1.0,2.0,53681
9.0,0.4,2.0,0.5,52218
9.0,0.4,2.0,1.0,55327
9.0,0.4,2.0,2.0,58195
9.0,0.5,0.5,0.5,46371
9.0,0.5,0.5,1.0,49632
9.0,0.5,0.5,2.0,50546
9.0,0.5,1.0,0.5,50126
9.0,0.5,1.0,1.0,54223
9.0,0.5,1.0,2.0,54565
9.0,0.5,2.0,0.5,52053
9.0,0.5,2.0,1.0,55123
9.0,0.5,2.0,2.0,58590
9.0,0.6,0.5,0.5,45933
9.0,0.6,0.5,1.0,48965
9.0,0.6,0.5,2.0,50371
9.0,0.6,1.0,0.5,49633
9.0,0.6,1.0,1.0,53106
